stamp,x,y,yaw,nearest_path_error_m,dist_to_path_end_m,request_file
229.366,4.913306478059566,0.2708025392351033,-0.18780353530493962,0.28434096082452903,0.28434096082452903,lt_dwa_scout_bridge_request_229369000000.txt
229.646,4.91315260902312,0.2710006571101027,-0.18776785299952967,0.2845765722500688,0.2845765722500688,lt_dwa_scout_bridge_request_229665000000.txt
229.946,4.913385375021244,0.27188171032516223,-0.18778955380222054,0.2853449801022371,0.2853449801022371,lt_dwa_scout_bridge_request_229966000000.txt
230.266,4.913235454023152,0.2707726285347984,-0.18797353186087176,0.28433413935405766,0.28433413935405766,lt_dwa_scout_bridge_request_230270000000.txt
230.566,4.913316439555997,0.27112520853482885,-0.18784147483038388,0.28464525001184143,0.28464525001184143,lt_dwa_scout_bridge_request_230569000000.txt
230.846,4.91341219911553,0.2712541817456501,-0.18768985138733044,0.2847389653287918,0.2847389653287918,lt_dwa_scout_bridge_request_230864000000.txt
231.046,4.913556760766651,0.27145221769745337,-0.18781587270653796,0.2848837308482528,0.2848837308482528,lt_dwa_scout_bridge_request_231065000000.txt
231.346,4.913168942533664,0.2713610199408936,-0.1879834609359356,0.28491478670662973,0.28491478670662973,lt_dwa_scout_bridge_request_231365000000.txt
231.666,4.913042959498516,0.2722512515243943,-0.1878397644061568,0.28580110365318023,0.28580110365318023,lt_dwa_scout_bridge_request_231667000000.txt
231.966,4.9127699748150535,0.2712875304128872,-0.18789907345862267,0.28496666726354114,0.28496666726354114,lt_dwa_scout_bridge_request_231968000000.txt
232.266,4.9129887410590625,0.2723813456567499,-0.18800893538426625,0.2859415266173644,0.2859415266173644,lt_dwa_scout_bridge_request_232268000000.txt
232.566,4.912853951729975,0.27168758597792547,-0.18769691664079782,0.285321885076477,0.285321885076477,lt_dwa_scout_bridge_request_232568000000.txt
232.866,4.912693971196773,0.27160364705558593,-0.18772645148432926,0.2852908757028262,0.2852908757028262,lt_dwa_scout_bridge_request_232873000000.txt
233.166,4.912797060137866,0.2707843991147156,-0.18769245475886398,0.28447942548542376,0.28447942548542376,lt_dwa_scout_bridge_request_233169000000.txt
233.466,4.912774417127441,0.2714356226324995,-0.18776186297658035,0.28510629516261216,0.28510629516261216,lt_dwa_scout_bridge_request_233470000000.txt
233.766,4.9130749890553105,0.2703944757723455,-0.18781548354976738,0.28402311535495856,0.28402311535495856,lt_dwa_scout_bridge_request_233769000000.txt
233.966,4.913066615069916,0.27056341955028324,-0.18780361144443225,0.28418651870584044,0.28418651870584044,lt_dwa_scout_bridge_request_233969000000.txt
234.266,4.912866063902701,0.2720698027350304,-0.18790097187333973,0.285682166716942,0.285682166716942,lt_dwa_scout_bridge_request_234275000000.txt
234.566,4.912896205362289,0.2715501784664859,-0.18777069715739292,0.28517813812680143,0.28517813812680143,lt_dwa_scout_bridge_request_234576000000.txt
234.866,4.912901943448673,0.27153617796787394,-0.18798321713728422,0.285163054059286,0.285163054059286,lt_dwa_scout_bridge_request_234879000000.txt
235.166,4.913050128012543,0.2722878906945384,-0.18768753681080277,0.28583382525081985,0.28583382525081985,lt_dwa_scout_bridge_request_235174000000.txt
235.466,4.913158682730416,0.27093084614389673,-0.18771499098377545,0.2845082385052575,0.2845082385052575,lt_dwa_scout_bridge_request_235475000000.txt
235.766,4.913376566613383,0.2711066735020607,-0.18769081393896067,0.2846092894285756,0.2846092894285756,lt_dwa_scout_bridge_request_235778000000.txt
236.066,4.913056469021982,0.2716664738266514,-0.18775577630250345,0.2852399876951553,0.2852399876951553,lt_dwa_scout_bridge_request_236073000000.txt
236.366,4.913092805614246,0.2704045487645126,-0.18788889526941635,0.28402725296799075,0.28402725296799075,lt_dwa_scout_bridge_request_236374000000.txt
236.666,4.91297448214784,0.2710839966629852,-0.18778189271500606,0.28471033350444824,0.28471033350444824,lt_dwa_scout_bridge_request_236679000000.txt
236.966,4.912631838878378,0.2708162928341121,-0.18786951613390956,0.284560468164827,0.284560468164827,lt_dwa_scout_bridge_request_236976000000.txt
237.266,4.912575065062981,0.2706534199795382,-0.18784632177938665,0.2844229122193963,0.2844229122193963,lt_dwa_scout_bridge_request_237272000000.txt
237.566,4.9127395293471094,0.2711324222563272,-0.18774674814702583,0.28482833450544814,0.28482833450544814,lt_dwa_scout_bridge_request_237578000000.txt
237.866,4.912756900816244,0.27084665032101984,-0.1877668891155965,0.28455099076493073,0.28455099076493073,lt_dwa_scout_bridge_request_237873000000.txt
238.166,4.912765743098674,0.27092417935485935,-0.1876574836156232,0.2846220766845584,0.2846220766845584,lt_dwa_scout_bridge_request_238170000000.txt
238.466,4.9124195585819805,0.2710411988257859,-0.18794245441544793,0.28483971840298977,0.28483971840298977,lt_dwa_scout_bridge_request_238476000000.txt
238.766,4.91257989162384,0.2715709989126969,-0.18767158955736415,0.2852947297076127,0.2852947297076127,lt_dwa_scout_bridge_request_238771000000.txt
