actual_index,actual_x,actual_y,actual_yaw,nearest_path_index,nearest_path_x,nearest_path_y,nearest_error_m,dist_to_path_end_m,request_file
28,3.484992711491118,0.5382945766973541,-2.084122957469064,68,3.3841768851104703,0.4756304731364499,0.11870392042348327,4.323595536477398,lt_dwa_scout_bridge_request_285468000000.txt
29,3.3505911396941643,0.34147806279495596,-2.195077401951186,69,3.4340195358191345,0.43078456824998174,0.12221272109143752,4.437515284089408,lt_dwa_scout_bridge_request_285769000000.txt
30,3.1948283875047023,0.14335593576451555,-2.294151969582035,69,3.4340195358191345,0.43078456824998174,0.3739353208837618,4.5823626726560125,lt_dwa_scout_bridge_request_286161000000.txt
31,3.0838249457887406,0.025322066644790656,-2.343301982284139,69,3.4340195358191345,0.43078456824998174,0.5357574928029428,4.691191515942686,lt_dwa_scout_bridge_request_286468000000.txt
32,2.9837295412786844,-0.07280415309065258,-2.360769348454503,69,3.4340195358191345,0.43078456824998174,0.675546208223193,4.791771689879735,lt_dwa_scout_bridge_request_286774000000.txt
33,2.918540478584848,-0.13805585530773892,-2.3499838207534363,69,3.4340195358191345,0.43078456824998174,0.7676575316640071,4.858369543849538,lt_dwa_scout_bridge_request_287069000000.txt
34,2.8681691232267594,-0.1903702297644712,-2.306328327735828,69,3.4340195358191345,0.43078456824998174,0.8402499464607761,4.910470545960587,lt_dwa_scout_bridge_request_287369000000.txt
35,2.8410150457753454,-0.2237869822505835,-2.236523117747423,69,3.4340195358191345,0.43078456824998174,0.8832430242786005,4.939005591768996,lt_dwa_scout_bridge_request_287669000000.txt
36,2.832240672854398,-0.23406794876479367,-2.0976556738731857,69,3.4340195358191345,0.43078456824998174,0.8967534049514466,4.9482466344878775,lt_dwa_scout_bridge_request_288061000000.txt
37,2.8300290538007142,-0.238872684469841,-1.9609027954081968,69,3.4340195358191345,0.43078456824998174,0.901801163499529,4.950685283323893,lt_dwa_scout_bridge_request_288371000000.txt
38,2.827429380262455,-0.24559092582758585,-1.7375517775061733,69,3.4340195358191345,0.43078456824998174,0.9085347686285596,4.953610463891737,lt_dwa_scout_bridge_request_288773000000.txt
39,2.8252793106203584,-0.24955766471179813,-1.5610026357204712,69,3.4340195358191345,0.43078456824998174,0.9129239923052068,4.955956052705327,lt_dwa_scout_bridge_request_289070000000.txt
40,2.8274783200254077,-0.25981797035827875,-1.342800174137679,69,3.4340195358191345,0.43078456824998174,0.919143140532913,4.954287319786809,lt_dwa_scout_bridge_request_289367000000.txt
41,2.8519252238570623,-0.31163949382037637,-1.010275735621498,70,3.4838612693160904,0.38524929876071823,0.9407428738903797,4.932876814490258,lt_dwa_scout_bridge_request_289758000000.txt
42,2.920459730086413,-0.3865850347569117,-0.6501969558225663,72,3.5835423785097333,0.29240666721946806,0.9490565473104677,4.869856834360574,lt_dwa_scout_bridge_request_290160000000.txt
43,3.0430145869093126,-0.4476118435251396,-0.31313510235806086,74,3.6832210126769045,0.19770383740048897,0.9090085784208106,4.75305705890434,lt_dwa_scout_bridge_request_290562000000.txt
44,3.1837289444675343,-0.4807043159989937,-0.07326427295483175,76,3.7828979878546094,0.10175413229121794,0.8356203602940895,4.616315656909716,lt_dwa_scout_bridge_request_290872000000.txt
45,3.3929625513858674,-0.46969590233319874,0.1707210530206085,78,3.882574130839034,0.0051789613438154945,0.6820745083104097,4.407086548869483,lt_dwa_scout_bridge_request_291264000000.txt
46,3.586614784528634,-0.41634473974631997,0.34033180729528895,79,3.9324121502558333,-0.04314776334485987,0.508774804151171,4.20897602116774,lt_dwa_scout_bridge_request_291571000000.txt
47,3.7692828606589166,-0.33189151463182676,0.46541535604721185,80,3.982250273823459,-0.09139620960358699,0.32123684535031627,4.019391273272899,lt_dwa_scout_bridge_request_291866000000.txt
48,3.9597361640293953,-0.21891421573649708,0.5704080492033695,81,4.032088605523802,-0.13948822597031707,0.10744004672625018,3.821487373114254,lt_dwa_scout_bridge_request_292167000000.txt
49,4.10985406340054,-0.1150851834508067,0.6423977524673333,82,4.081927249001163,-0.1873459147128581,0.07746947944205947,3.666900471052962,lt_dwa_scout_bridge_request_292469000000.txt
50,4.259117004079572,0.003673165638240713,0.6943669378475241,82,4.081927249001163,-0.1873459147128581,0.2605465378064466,3.5158330347141495,lt_dwa_scout_bridge_request_292771000000.txt
51,4.387823680278977,0.11442328381017196,0.7139910260672545,82,4.081927249001163,-0.1873459147128581,0.4296943982014827,3.389056600053582,lt_dwa_scout_bridge_request_293157000000.txt
52,4.468604213293574,0.1860908325671878,0.6948584415031993,82,4.081927249001163,-0.1873459147128581,0.537563092979322,3.311576632795859,lt_dwa_scout_bridge_request_293469000000.txt
53,4.527756986555467,0.23267579506603764,0.6531216201989716,82,4.081927249001163,-0.1873459147128581,0.6125213396881174,3.2555165860252964,lt_dwa_scout_bridge_request_293769000000.txt
54,4.573567945148859,0.261102521308443,0.5751523633287461,83,4.13176630739414,-0.2348917581792815,0.6642281328032554,3.2120101968432646,lt_dwa_scout_bridge_request_294070000000.txt
55,4.589865216069287,0.27189876125294865,0.443863201085911,83,4.13176630739414,-0.2348917581792815,0.6831480371894151,3.1966673260459575,lt_dwa_scout_bridge_request_294458000000.txt
56,4.596478875755749,0.27079599822808154,0.30665688571684535,83,4.13176630739414,-0.2348917581792815,0.6867880882583475,3.1899838810855807,lt_dwa_scout_bridge_request_294769000000.txt
57,4.599429256767611,0.2737146451842891,0.1324736907920447,83,4.13176630739414,-0.2348917581792815,0.6909335045857314,3.18729347715791,lt_dwa_scout_bridge_request_295070000000.txt
58,4.600688090683571,0.2732345018309825,-0.0457832551198851,83,4.13176630739414,-0.2348917581792815,0.6914332469265259,3.1859980820133273,lt_dwa_scout_bridge_request_295366000000.txt
59,4.622834311938817,0.2672619619186143,-0.28367736115612857,83,4.13176630739414,-0.2348917581792815,0.7023575611436434,3.163423836321523,lt_dwa_scout_bridge_request_295673000000.txt
60,4.68772237505989,0.23629444621367598,-0.5830544673819182,84,4.181605883168334,-0.28204874453183715,0.7244539783567031,3.0962554519941157,lt_dwa_scout_bridge_request_296060000000.txt
